
Giulio,Bianchi,0612708801,g.bianchi1@studenti.unisa.it
Maria,Rossi,0612708802,m.rossi2@studenti.unisa.it
Luigi,Verdi,0612708803,l.verdi3@studenti.unisa.it
Anna,Neri,0612708804,a.neri4@studenti.unisa.it
Paolo,Gialli,0612708805,p.gialli5@studenti.unisa.it
Sara,Bruno,0612708806,s.bruno6@studenti.unisa.it
Marco,Esposito,0612708807,m.esposito7@studenti.unisa.it
Elena,Romano,0612708808,e.romano8@studenti.unisa.it
Davide,Gallo,0612708809,d.gallo9@studenti.unisa.it
Chiara,Ferrara,0612708810,c.ferrara10@studenti.unisa.it
Andrea,Marino,0612708811,a.marino11@studenti.unisa.it
Laura,Conti,0612708812,l.conti12@studenti.unisa.it
Simone,Rizzo,0612708813,s.rizzo13@studenti.unisa.it
Federica,Costa,0612708814,f.costa14@studenti.unisa.it
Roberto,Moretti,0612708815,r.moretti15@studenti.unisa.it
